"","Structure","Fetal1","Fetal2","Fetal3","Birth/Ifan","Infan/Childh","Childh","Adolescence","Adulth"
"1","A1C",1.0407978505591,1.01476856376728,1.02466974220228,0.939183292611767,1.01144582875816,1.06138990796859,1.01534355362316,1.05206410084209
"2","AMY",1.00689518364832,0.966164471761502,0.950298131639086,0.938772498661226,0.979371128555663,0.963135262560485,0.998703046119032,1.01345926908
"3","CBC",1.01446195387381,0.993169350203559,0.987233269658174,0.982101582989007,1.11343120746648,1.09850305777053,1.07258206099703,1.12448671659336
"4","DFC",1.07658279375292,1.02317143033695,1.02569829888084,0.97113009053804,1.00080708363718,1.03303491844826,1.02661870794429,1.06070359082457
"5","HIP",1.00807993004825,0.964892403922859,0.948009460324308,0.951938140849385,0.984638723871408,1.03120517847239,0.992951633521447,0.983378659913419
"6","IPC",1.10328001672257,1.00332907865554,1.01801210549225,0.995302210999785,1.00838521327755,1.05197055280206,1.04084797301559,1.04927687046284
"7","ITC",1.07443019523492,1.01408185239893,0.965667884132975,0.967834494577339,1.0095377883017,1.0398591215237,1.01952130134066,0.984154477287127
"8","M1C",1.10498507776606,1.01046587626524,1.03212117039256,0.964410539171824,1.03381576802075,1.06864952913641,1.0353770860387,1.07022100128249
"9","MD",1.09204817362795,1.0178396737327,0.992194783747672,1.00469463394537,1.04346720525806,1.08238747921369,1.00922504105392,1.05667791461195
"10","MFC",1.0864809218641,1.01140706612174,0.99297042627504,0.949767548411564,1.02206517359946,1.01356318362757,0.977963860257787,1.04292120482802
"11","OFC",1.04143862202469,0.994561300667216,0.990893914824174,0.971238293600515,1.00281566927174,1.06049684233149,1.00834081816434,1.04196128525686
"12","S1C",1.11007374788644,1.02822909944385,1.03706704776646,0.967653848474138,1.04118368993636,1.06966164423442,0.986168747569884,1.05875886526814
"13","STC",1.07065051913623,1.03887820099573,1.00032624685836,0.952789076875623,1.02385488252569,1.04618677826541,1.00936434682368,1.07306500155468
"14","STR",1.02290944266129,0.960231687465672,0.970232115561778,0.957889958807295,1.0199741582157,0.985502797265561,1.00782042989649,1.00661038836745
"15","V1C",1.08297474327691,1.02332065096309,1.02028785796675,0.987907434930204,1.03887895575261,1.03676700632452,1.00988566977462,1.04955972144157
"16","VFC",1.10593464582668,1.04801166058191,1.05440734291197,0.949805203107559,1.00701236408782,1.00859181221139,0.99452906440534,1.09250979471487
