"","M1C_primary motor cortex (area M1, area 4)","DFC_dorsolateral prefrontal cortex","VFC_ventrolateral prefrontal cortex","OFC_orbital frontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)","IPC_posteroventral (inferior) parietal cortex","A1C_primary auditory cortex (core)","STC_posterior (caudal) superior temporal cortex (area 22c)","ITC_inferolateral temporal cortex (area TEv, area 20)","V1C_primary visual cortex (striate cortex, area V1/17)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","HIP_hippocampus (hippocampal formation)","STR_striatum","AMY_amygdaloid complex","MD_mediodorsal nucleus of thalamus"
"DFC_dorsolateral prefrontal cortex",1.14908083048704e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VFC_ventrolateral prefrontal cortex",0.00820975086214992,1.31256129398682e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFC_orbital frontal cortex",0.000797231212303018,2.84398374416073e-05,0.99999993544423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)",0.0453984828775094,7.04798718276223e-08,0.999999991210591,0.999722793531849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPC_posteroventral (inferior) parietal cortex",2.71754315717132e-08,0.0721642940618171,0.542656288794443,0.895923913688062,0.221977160471478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1C_primary auditory cortex (core)",0.000888956656989515,2.50426118523217e-05,0.999999965655732,1,0.99979231532808,0.885808776032592,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STC_posterior (caudal) superior temporal cortex (area 22c)",0.027190871465846,1.84213144405199e-07,0.999999999968051,0.999963568398714,1,0.309559985309215,0.999974581423356,NA,NA,NA,NA,NA,NA,NA,NA
"ITC_inferolateral temporal cortex (area TEv, area 20)",2.92987856198579e-13,0.97099338402459,0.00380440204450594,0.0305051990696137,0.000457970689382581,0.941766434585217,0.0281038183437516,0.000928365061243608,NA,NA,NA,NA,NA,NA,NA
"V1C_primary visual cortex (striate cortex, area V1/17)",2.22900597923736e-06,0.00573013424445723,0.950506830079177,0.99911258635386,0.720836097125328,0.999997405504715,0.998869494418353,0.818289278455987,0.516993691721314,NA,NA,NA,NA,NA,NA
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex",1.02725161710282e-10,0.473411735450046,0.0942745885462506,0.3532272698437,0.0200831945074086,0.999987145027879,0.337290339515086,0.0341687486671934,0.999940951008758,0.979333809900603,NA,NA,NA,NA,NA
"HIP_hippocampus (hippocampal formation)",1.0547118733939e-13,0.999999251341214,4.9419943430884e-05,0.000730367374163654,3.65284769909824e-06,0.362961536779409,0.000654231312987141,8.62702402504301e-06,0.999922994169485,0.0596596968498624,0.901707142533287,NA,NA,NA,NA
"STR_striatum",5.86208859232329e-11,0.531645956953903,0.0753398254943179,0.303572290326213,0.0152101127800925,0.999958075919122,0.288891333910773,0.0263041767991441,0.999981121605304,0.9677050587769,1,0.928981744055928,NA,NA,NA
"AMY_amygdaloid complex",1.06581410364015e-13,0.999999389183053,4.70215389272166e-05,0.000698958639452463,3.45906105259086e-06,0.35645800368121,0.000625932911193949,8.18165086624578e-06,0.999912301571034,0.0579080061598043,0.897875436948997,1,0.92589574167952,NA,NA
"MD_mediodorsal nucleus of thalamus",3.36593965455378e-06,0.00428219835073351,0.965958327454875,0.999591181166473,0.768881782964844,0.999990645464995,0.999466183025722,0.856725577968655,0.462645015933077,1,0.968552483948841,0.0475498946228105,0.952818670366335,0.0461061477390384,NA
"CBC_cerebellar cortex",0.00584114505888678,2.16818955700582e-06,1,0.999999994328316,0.99999990708582,0.608605119459594,0.999999997357443,0.999999999005742,0.0054086623389642,0.968552483948841,0.119966604845591,7.69916301861517e-05,0.0968905697666005,7.33196057082219e-05,0.979333809900603
