"","brainRegion","window","pvalAVG","log2pvalAVG"
"1","Amygdala","Prenatal",0.603998519451208,-0.727383081732734
"2","Cerebellum","Prenatal",0.556534973054353,-0.845455744486852
"3","Hippocampus","Prenatal",0.512114308104721,-0.965462227377672
"4","Mediodorsal Nucleus of the Thalamus","Prenatal",0.207244614984029,-2.27059347947162
"5","Neocortex","Prenatal",0.208648661535815,-2.26085242902766
"6","Striatum","Prenatal",0.559344137853932,-0.838191916985606
"7","Amygdala","Infant",0.542150181846715,-0.883235544796881
"8","Cerebellum","Infant",0.00696464569188946,-7.16573432330085
"9","Hippocampus","Infant",0.508582857836844,-0.975445259148288
"10","Mediodorsal Nucleus of the Thalamus","Infant",0.573527747261893,-0.802064809398189
"11","Neocortex","Infant",0.347761161657842,-1.52383127498686
"12","Striatum","Infant",0.664759360139126,-0.589095908804827
"13","Amygdala","Child",0.519278132838368,-0.945420621069363
"14","Cerebellum","Child",0.422421868946986,-1.24324356936555
"15","Hippocampus","Child",0.46242369599011,-1.11271276709309
"16","Mediodorsal Nucleus of the Thalamus","Child",0.200788510169164,-2.3162513793648
"17","Neocortex","Child",0.520396680828529,-0.942316334537057
"18","Striatum","Child",0.283459628420085,-1.81878482012767
"19","Amygdala","Adolescent",0.400839837746162,-1.31890219597824
"20","Cerebellum","Adolescent",0.0076486141041679,-7.03058592328514
"21","Hippocampus","Adolescent",0.0529709927277172,-4.23865364338345
"22","Mediodorsal Nucleus of the Thalamus","Adolescent",0.0102184762662373,-6.61267610573345
"23","Neocortex","Adolescent",0.467362421548092,-1.09738635654264
"24","Striatum","Adolescent",0.400839837746162,-1.31890219597824
"25","Amygdala","Adult",0.0374740462892581,-4.73796442757933
"26","Cerebellum","Adult",0.0121360244372562,-6.36456029404477
"27","Hippocampus","Adult",0.0343189549558763,-4.86485056767531
"28","Mediodorsal Nucleus of the Thalamus","Adult",0.20563025188694,-2.281875568504
"29","Neocortex","Adult",0.423911156857889,-1.23816615790758
"30","Striatum","Adult",0.205870119968479,-2.28019364277772
