Structure	window	pvalAVG	log2(pvalAVG)
Amygdala - PeyNotAkey	Fetal_1	0.0097814106291852	-6.67574174576513
Cerebellum - PeyNotAkey	Fetal_1	0.0026067405509027	-8.58353728619704
Hippocampus - PeyNotAkey	Fetal_1	0.009781410828779	-6.67574171632634
Mediodorsal Nucleus of the Thalamus - PeyNotAkey	Fetal_1	5.6324453573292205e-14	-44.0132319160729
Neocortex - PeyNotAkey	Fetal_1	1.99593745073973e-10	-32.222214439081
Striatum - PeyNotAkey	Fetal_1	0.002606740550959	-8.58353728616588
Cerebellum - PeyNotAkey	Fetal_2	2.02478362901392e-07	-22.2357289162275
Hippocampus - PeyNotAkey	Fetal_2	0.0271094730511351	-5.20505911916283
Striatum - PeyNotAkey	Fetal_2	0.0271063412046487	-5.20522579744524
Mediodorsal Nucleus of the Thalamus - PeyNotAkey	Fetal_3	6.64402695827951e-26	-83.6380725399937
Cerebellum - PeyNotAkey	Birth/Inf	1.0737210781312999e-19	-63.0140145315646
Hippocampus - PeyNotAkey	Birth/Inf	0.0152464996985684	-6.0353781239614
Neocortex - PeyNotAkey	Inf/Child	1.27109839461778e-08	-26.2293490466689
Amygdala - PeyNotAkey	Child	0.009162503705272	-6.77004240799664
Cerebellum - PeyNotAkey	Child	1.95188327376421e-14	-45.5421265487788
Amygdala - PeyNotAkey	Adolescence	0.0085819988904914	-6.86447057009206
Cerebellum - PeyNotAkey	Adolescence	4.1056424695664e-19	-61.0790258037236
Neocortex - PeyNotAkey	Adolescence	0.0016501377237549	-9.24319784498717
Striatum - PeyNotAkey	Adolescence	4.11639879847028e-19	-61.0752510449466
Amygdala - PeyNotAkey	Adult	4.49666984235888e-06	-17.762711607994
Cerebellum - PeyNotAkey	Adult	1.42247664217199e-95	-315.074764051398
