"","Structure","window","pvalAVG","log2pvalAVG"
"1","Amygdala","Prenatal",0.265562335181156,-1.91287755174406
"2","Cerebellum","Prenatal",0.0225652014912906,-5.46975652892041
"3","Hippocampus","Prenatal",0.254621186360779,-1.97357562778493
"4","Mediodorsal Nucleus of the Thalamus","Prenatal",0.207837563819713,-2.26647166952501
"5","Neocortex","Prenatal",0.460528949171079,-1.11863624690334
"6","Striatum","Prenatal",0.24854788282783,-2.00840428067061
"7","Amygdala","Infant",0.000139015816718357,-12.8124633426224
"8","Cerebellum","Infant",0.537310801305629,-0.896171254732828
"9","Hippocampus","Infant",0.645563396270506,-0.631369315398234
"10","Mediodorsal Nucleus of the Thalamus","Infant",0.452578973671059,-1.14375853477468
"11","Neocortex","Infant",0.800102481602052,-0.321743294599925
"12","Striatum","Infant",0.333613428979109,-1.58375073196921
"13","Amygdala","Child",0.366120372328898,-1.44961004197656
"14","Cerebellum","Child",0.459752197206101,-1.12107162543607
"15","Hippocampus","Child",0.35790829243323,-1.48233812471869
"16","Mediodorsal Nucleus of the Thalamus","Child",0.402116528872286,-1.31431445600853
"17","Neocortex","Child",0.964838111232341,-0.0516411998799085
"18","Striatum","Child",0.307487233113694,-1.70140158396696
"19","Amygdala","Adolescent",0.276183190737598,-1.85630257897523
"20","Cerebellum","Adolescent",0.430035795675814,-1.21747134182937
"21","Hippocampus","Adolescent",0.271517222513281,-1.88088438287444
"22","Mediodorsal Nucleus of the Thalamus","Adolescent",0.49224604715519,-1.02254847387481
"23","Neocortex","Adolescent",0.636281636363339,-0.652262610119752
"24","Striatum","Adolescent",0.293895833727558,-1.76662318742311
"25","Amygdala","Adult",0.464717366673699,-1.10557453494111
"26","Cerebellum","Adult",0.203437473243236,-2.29734264635706
"27","Hippocampus","Adult",0.569937701677474,-0.811123864018605
"28","Mediodorsal Nucleus of the Thalamus","Adult",0.200380934998052,-2.31918284330129
"29","Neocortex","Adult",0.600156382268356,-0.736589623288326
"30","Striatum","Adult",0.497357203751066,-1.00764572201769
