,Structure,window,pvalAVG,log2pvalAVG
1,Amygdala,Fetal_1,5.4523E-06,-17.48470267
2,Cerebellum,Fetal_1,7.30961E-19,-60.2468386
3,Hippocampus,Fetal_1,5.4523E-06,-17.48470268
4,Mediodorsal Nucleus of the Thalamus,Fetal_1,7.30682E-19,-60.24738916
5,Neocortex,Fetal_1,0.111783928,-3.161215314
6,Striatum,Fetal_1,0.111783928,-3.161215314
7,Amygdala,Fetal_2,0.00313814,-8.3158744
8,Cerebellum,Fetal_2,0.400107981,-1.321538688
9,Hippocampus,Fetal_2,0.602149315,-0.731806817
10,Mediodorsal Nucleus of the Thalamus,Fetal_2,0.200033696,-2.321685052
11,Neocortex,Fetal_2,0.400182811,-1.321268896
12,Striatum,Fetal_2,0.400947603,-1.318514381
13,Amygdala,Fetal_3,0.600000102,-0.736965349
14,Cerebellum,Fetal_3,0.6,-0.736965594
15,Hippocampus,Fetal_3,0.600000796,-0.73696368
16,Mediodorsal Nucleus of the Thalamus,Fetal_3,2.16503E-32,-105.1873097
17,Neocortex,Fetal_3,8.98139E-07,-20.08655788
18,Striatum,Fetal_3,0.6,-0.736965594
19,Amygdala,Birth/Inf,0.23372933,-2.097089308
20,Cerebellum,Birth/Inf,0.153377789,-2.70483852
21,Hippocampus,Birth/Inf,0.287991972,-1.795899498
22,Mediodorsal Nucleus of the Thalamus,Birth/Inf,0.002072843,-8.914173168
23,Neocortex,Birth/Inf,0.153058952,-2.707840671
24,Striatum,Birth/Inf,0.126142492,-2.986873754
25,Amygdala,Inf/Child,0.220184737,-2.183213631
26,Cerebellum,Inf/Child,4.58556E-27,-87.49495973
27,Hippocampus,Inf/Child,0.400000173,-1.321927472
28,Mediodorsal Nucleus of the Thalamus,Inf/Child,0.000761797,-10.35830584
29,Neocortex,Inf/Child,0.153881096,-2.700112081
30,Striatum,Inf/Child,0.373610811,-1.420391893
31,Amygdala,Child,0.200040807,-2.321633762
32,Cerebellum,Child,1.4333E-18,-59.27536223
33,Hippocampus,Child,0.2,-2.321928095
34,Mediodorsal Nucleus of the Thalamus,Child,0.200041715,-2.321627214
35,Neocortex,Child,0.20016521,-2.32073685
36,Striatum,Child,0.000164302,-12.57136316
37,Amygdala,Adolescence,5.20957E-14,-44.12582848
38,Cerebellum,Adolescence,0.41074679,-1.283678795
39,Hippocampus,Adolescence,0.473003815,-1.080076274
40,Mediodorsal Nucleus of the Thalamus,Adolescence,0.471846944,-1.083609135
41,Neocortex,Adolescence,0.008719675,-6.841509982
42,Striatum,Adolescence,0.418262511,-1.257519402
43,Amygdala,Adult,0.400000381,-1.321926723
44,Cerebellum,Adult,3.03643E-13,-41.58269078
45,Hippocampus,Adult,0.2630941,-1.926349201
46,Mediodorsal Nucleus of the Thalamus,Adult,6.04561E-07,-20.65760841
47,Neocortex,Adult,0.263093876,-1.926350429
48,Striatum,Adult,2.65945E-18,-58.3835772
