"Structure","Fetal_1","Fetal_2","Fetal_3","Birth/Infancy","Infancy/Child","Child","Adolescence","Adult"
"A1C",0.265393728920676,0.213144499698314,0.262866122474083,0.525265852337838,0.597649216785879,0.493501951821151,0.473866030713381,0.294182848706923
"AMY",0.411829435488145,0.354818498031186,0.46423602768084,0.529815382191589,0.551849955154475,0.402359278049412,0.285724002605523,0.375394120701793
"CBC",0.216296418832481,0.315444932563616,0.249842090888613,0.408279656405562,0.458843852821877,0.344773146811345,0.211238469489694,0.305390206365403
"DFC",0.253552121256479,0.302586757657601,0.25116555318621,0.565875977765436,0.69778220286358,0.42872020676355,0.212647546410625,0.31520181886828
"HIP",0.354440950810423,0.604031332024772,0.266989651957763,0.713222634825591,0.560879160624247,0.491798329025428,0.41394071421113,0.333695094748096
"IPC",0.191153303148472,0.230844155500475,0.232881320663606,0.636256576330647,0.700268311355616,0.573638049175356,0.334189840372506,0.273493363157449
"ITC",0.319025553073774,0.329854824054446,0.353106995852335,0.532061210197156,0.599865920666979,0.416999647026064,0.351586443568478,0.27951933145864
"MD",0.390456942237353,0.224696457460179,0.443875916742847,0.613543792968381,0.523587094304681,0.187811253146501,0.353423398181885,0.364591664668032
"MFC",0.291335534461639,0.393626046151458,0.235621242881156,0.609459913587943,0.592558100006347,0.47737337644378,0.397909531318966,0.280343286305856
"OFC",0.269280426893626,0.168088834460983,0.213378244047935,0.554926764928744,0.59010764456131,0.384735247063795,0.258076381846204,0.279357354777488
"STC",0.203657942995488,0.281355595314703,0.279930040977505,0.475193999686456,0.632315035076999,0.497592366933978,0.469395864350349,0.252183266258067
"STR",0.394703341665222,0.25888555447043,0.278731688195003,0.626130225075856,0.693401577686106,0.212667993490819,0.273588685710182,0.249507291620459
"V1C",0.211546139233693,0.283888296512221,0.281311863201242,0.664912728644415,0.66162482156449,0.664194088882352,0.506443837345611,0.489164493638786
"VFC",0.259631357992857,0.221255873199823,0.205980285419645,0.533817445904532,0.593831179686944,0.497335024690975,0.290004350199476,0.268621337630066
