"","struct_id","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"1","A1C","datasource",1,42,34.975,5.28e-07,"*",0.454,8.976e-06
"2","AMY","datasource",1,31,193.148,7.34e-15,"*",0.862,1.2478e-13
"3","CBC","datasource",1,20,15.13,0.00091,"*",0.431,0.01547
"4","DFC","datasource",1,42,25.237,9.86e-06,"*",0.375,0.00016762
"5","HIP","datasource",1,42,995.487,7.06e-31,"*",0.96,1.2002e-29
"6","IPC","datasource",1,42,2.243,0.142,"",0.051,1
"7","ITC","datasource",1,20,28.995,2.86e-05,"*",0.592,0.0004862
"8","M1C","datasource",1,9,535.092,2.51e-09,"*",0.983,4.267e-08
"9","MD","datasource",1,42,473.801,1.7e-24,"*",0.919,2.89e-23
"10","MFC","datasource",1,42,6.217,0.017,"*",0.129,0.289
"11","MSC","datasource",1,31,6.258,0.018,"*",0.168,0.306
"12","OFC","datasource",1,20,617.404,1.65e-16,"*",0.969,2.805e-15
"13","S1C","datasource",1,9,83.638,7.49e-06,"*",0.903,0.00012733
"14","STC","datasource",1,42,11.126,0.002,"*",0.209,0.034
"15","STR","datasource",1,42,9.419,0.004,"*",0.183,0.068
"16","V1C","datasource",1,42,62.353,7.81e-10,"*",0.598,1.3277e-08
"17","VFC","datasource",1,42,30.547,1.9e-06,"*",0.421,3.23e-05
